dataset,kind,r
depmap,within,0.9907575105550452
depmap,within,0.9919796866554581
depmap,within,0.9937204314730673
depmap,within,0.9891762075026759
depmap,within,0.9904916125145774
depmap,within,0.9924049831568005
depmap,within,0.9877398706752268
depmap,within,0.9932463643825482
depmap,within,0.989706633870234
depmap,within,0.9937528701290305
depmap,within,0.9927630097990136
depmap,within,0.9932733470941085
depmap,within,0.9915779698334805
depmap,within,0.9927300458770607
depmap,within,0.9930815124582334
depmap,within,0.9904264687252996
depmap,within,0.9932111976731528
depmap,within,0.9823124821379952
depmap,within,0.9614141965207068
depmap,within,0.9871672776188438
depmap,within,0.9861740498551751
depmap,within,0.9858605047178487
depmap,within,0.9868584768692888
depmap,within,0.9834266549107569
depmap,within,0.9832829709074329
depmap,within,0.9882790757407584
depmap,within,0.9836370267636944
depmap,within,0.9888985762941961
depmap,within,0.9793578382947774
depmap,within,0.9734715768014972
depmap,within,0.9855758841921565
depmap,within,0.9833130136112388
depmap,within,0.9869388459888817
depmap,within,0.9849816078748215
depmap,within,0.9855285315411116
depmap,within,0.9857924893784241
depmap,within,0.9865753246053945
depmap,within,0.9602516249537538
depmap,within,0.9827111580919023
depmap,within,0.9754974869436587
depmap,within,0.9496124313168218
depmap,within,0.9796211162910777
depmap,within,0.9830344260792674
depmap,within,0.9812120047876814
depmap,within,0.9791305301818506
depmap,within,0.9811334863529089
depmap,within,0.9660679000562462
depmap,within,0.9771120631197259
depmap,within,0.9823459006417776
depmap,within,0.9819715545543876
depmap,within,0.9784982244973676
depmap,within,0.9747829179507911
depmap,within,0.9762652127237958
depmap,within,0.9804287720243063
depmap,within,0.9836892038069721
depmap,within,0.9803668737104465
depmap,within,0.9664274757839845
depmap,within,0.9949966763346499
depmap,within,0.9949318283260807
depmap,within,0.99457627123185
depmap,within,0.9930617033538168
depmap,within,0.9951918402690472
depmap,within,0.9949203383509144
depmap,within,0.9934182003478251
depmap,within,0.9956341834630389
depmap,within,0.9953028405552866
depmap,within,0.996260405408084
depmap,within,0.9964433597677086
depmap,within,0.9960257256552407
depmap,within,0.9962104264235792
depmap,within,0.9943058329421959
depmap,within,0.9947797959114328
depmap,within,0.995575434104433
depmap,within,0.9951785944443873
depmap,within,0.9926880939989917
depmap,within,0.9954571530418083
depmap,within,0.9953947328530479
depmap,within,0.993926404102664
depmap,within,0.9958486372324677
depmap,within,0.9955122830949938
depmap,within,0.9926976964431369
depmap,within,0.9955344114758952
depmap,within,0.9941057761446861
depmap,within,0.9954599297706099
depmap,within,0.9946681854841946
depmap,within,0.9934476556540344
depmap,within,0.9954240833990025
depmap,within,0.9954378368035335
depmap,within,0.9942064190520898
depmap,within,0.9939051816485729
depmap,within,0.9956039810254041
depmap,within,0.9954210193398956
depmap,within,0.994309113419745
depmap,within,0.9928489847267535
depmap,within,0.9945578150927531
depmap,within,0.9921875857256776
depmap,within,0.9957615049217647
depmap,within,0.9884259324793354
depmap,within,0.9867301875586112
depmap,within,0.989128092753078
depmap,within,0.987677214827955
depmap,within,0.9892219403941394
depmap,within,0.9915262725678847
depmap,within,0.9900583152328715
depmap,within,0.9893083697873891
depmap,within,0.9898536656899233
depmap,within,0.9894278841428361
depmap,within,0.9895211963220558
depmap,within,0.990447398419434
depmap,within,0.9915524451793398
depmap,within,0.9885745638417663
depmap,within,0.9881623600807453
depmap,within,0.9862358605681275
depmap,within,0.9894040578209993
depmap,within,0.9865813162694324
depmap,within,0.9916445587319803
depmap,within,0.9913749665898305
depmap,within,0.9914597395858421
depmap,within,0.983578355348659
depmap,within,0.9895893853355919
depmap,within,0.992554756642615
depmap,within,0.9912260561294858
depmap,within,0.9834478787743145
depmap,within,0.9920804799295788
depmap,within,0.9906702676178488
depmap,within,0.9915143524580942
depmap,within,0.9917878411217974
depmap,within,0.9888489330890423
depmap,within,0.9932109162347793
depmap,within,0.9914816605598004
depmap,within,0.9864522119057948
depmap,within,0.9914152809613637
depmap,within,0.992940132897645
depmap,within,0.9912570674185115
depmap,within,0.9885881876967907
depmap,within,0.9888489966914861
depmap,within,0.9814649762655727
depmap,within,0.9858298263927365
depmap,within,0.9899824350252051
depmap,within,0.9881337817229333
depmap,within,0.9897738165637311
depmap,within,0.9916870624612776
depmap,within,0.9899123850742875
depmap,within,0.9884868937931774
depmap,within,0.9874304325489816
depmap,within,0.990896569704465
depmap,within,0.9892318470439446
depmap,within,0.9921568815602133
depmap,within,0.9847998991715173
depmap,within,0.9873356953393744
depmap,within,0.9904294067748314
depmap,within,0.9888466223886724
depmap,within,0.9925384961054627
depmap,within,0.988140669189351
depmap,within,0.9898125091855844
depmap,within,0.9867641594659059
depmap,within,0.9890636541536673
