dataset,item,eta2_y,anova_p,n_cells,n_tissues,sig,anova_p_bonf,sig_bonf
depmap,KLF5,0.303627201047591,2.732149504129717e-38,1076,29,True,5.464299008259434e-36,True
depmap,ALG13,0.09583576057558527,2.115389435056582e-09,1076,29,True,4.230778870113164e-07,True
depmap,NF2,0.07366797484123494,6.330183919323497e-12,1076,29,True,1.2660367838646993e-09,True
depmap,NELFB,0.09992884469286573,1.7503776516777693e-10,1076,29,True,3.500755303355539e-08,True
depmap,EFR3A,0.20674482614038195,1.1150070104207588e-37,1076,29,True,2.2300140208415177e-35,True
depmap,FAU,0.04944820547955564,0.00023283878573723463,1076,29,True,0.046567757147446924,True
ctrpv2,"(1S,3R)-Rsl3",0.24532771524024216,2.1913519510061454e-22,771,23,True,9.641948584427039e-20,True
ctrpv2,16beta-Bromoandrosterone,0.40517804797557866,1.614802196499648e-08,185,22,True,7.105129664598451e-06,True
ctrpv2,3-Cl-AHPC,0.15415575007511215,4.5080213742107e-08,617,22,True,1.983529404652708e-05,True
ctrpv2,5-Fluorouracil,0.31541091965241747,7.932204305102387e-12,336,23,True,3.4901698942450502e-09,True
ctrpv2,ABT-737,0.2631376840637964,2.705479831153313e-09,370,22,True,1.1904111257074577e-06,True
ctrpv2,AGK-2,0.1949134783260012,0.1554610915379071,131,21,False,1.0,False
ctrpv2,AM-580,0.11663010937133043,0.00048389288472113715,338,22,True,0.21291286927730035,False
ctrpv2,AT13387,0.24387005332568695,6.140494628040876e-08,329,23,True,2.7018176363379858e-05,True
ctrpv2,AT7867,0.2473139767655131,6.19905546894114e-21,731,23,True,2.7275844063341015e-18,True
ctrpv2,AZ-3146,0.4174625386761761,1.2526081383015772e-12,238,22,True,5.511475808526939e-10,True
ctrpv2,AZD-7545,0.10176456529317106,0.00040165960406768195,404,22,True,0.17673022578978007,False
ctrpv2,AZD1480,0.3161638253030502,2.6314190739985387e-12,300,23,True,1.157824392559357e-09,True
ctrpv2,AZD4547,0.1363783066314272,5.013446785125042e-14,678,23,True,2.2059165854550186e-11,True
ctrpv2,AZD6482,0.15066760883100702,1.3703168530681982e-07,675,22,True,6.029394153500072e-05,True
ctrpv2,AZD7762,0.30021175323399785,6.116707829706706e-24,771,23,True,2.6913514450709508e-21,True
ctrpv2,AZD8055,0.08898063577599295,0.0004932876512596928,646,22,True,0.21704656655426482,False
ctrpv2,Aacocf3,0.10533823080255093,0.00042180787898523915,610,22,True,0.18559546675350522,False
ctrpv2,Afatinib,0.16013258252226126,4.9282187247742786e-14,677,23,True,2.1684162389006826e-11,True
ctrpv2,Alisertib,0.38685075656094714,7.891812392463632e-24,482,22,True,3.472397452683998e-21,True
ctrpv2,Alpelisib,0.15187374169675644,4.352333230021057e-10,436,22,True,1.915026621209265e-07,True
ctrpv2,Axitinib,0.3108483434673906,1.568385034230105e-22,525,23,True,6.900894150612461e-20,True
ctrpv2,Azacitidine,0.22691868207879068,3.5745947639931137e-07,419,23,True,0.000157282169615697,True
ctrpv2,B02,0.21438174032968288,5.957258290278423e-14,524,23,True,2.621193647722506e-11,True
ctrpv2,BI-2536,0.24278211257076754,1.2499809630847932e-28,732,23,True,5.49991623757309e-26,True
ctrpv2,BIBR-1532,0.20547207586357139,5.978487999295524e-07,396,22,True,0.00026305347196900307,True
ctrpv2,BIX-01294,0.24528761272032507,7.147152886724329e-21,740,23,True,3.144747270158705e-18,True
ctrpv2,BMS-195614,0.12758408223215945,0.033301013039758014,353,22,True,1.0,False
ctrpv2,BMS-270394,0.21797858226998384,2.4256343071887538e-05,282,22,True,0.010672790951630517,True
ctrpv2,BMS-345541,0.15692790874236492,4.378085693567325e-10,711,23,True,1.926357705169623e-07,True
ctrpv2,BMS-536924,0.19079443649414615,2.4601963799427158e-14,688,23,True,1.082486407174795e-11,True
ctrpv2,BMS-754807,0.24635763282723,3.9627823834847694e-19,640,23,True,1.7436242487332986e-16,True
ctrpv2,BRD-A02303741-carboplatin (1-1 mol-mol),0.22716155262987728,0.03133633543526315,136,20,True,1.0,False
