dataset,gene,eta2_X
depmap,DFFB,0.23433852869209085
depmap,DHDDS,0.12846920533636902
depmap,DHFR,0.15108400140055014
depmap,DHRS7,0.20416607479556106
depmap,DHX29,0.1625621326583419
depmap,DIPK1A,0.25692412137602155
depmap,DLD,0.12793885469760705
depmap,DMTF1,0.19982186370462723
depmap,DNAJA3,0.12220101241635362
depmap,DNAJB1,0.2780284021397106
depmap,DNAJB2,0.19339161395693452
depmap,DNAJB6,0.1923140036475265
depmap,DNAJC15,0.11407442793748622
depmap,DNAJC9,0.1315688136279965
depmap,DNM1,0.2234581632953547
depmap,DNM1L,0.11834841269231643
depmap,DNM2,0.20460765377328544
depmap,DNMT1,0.24095964449346405
depmap,DNMT3A,0.21540519203191075
depmap,DNTTIP2,0.08082925651570506
depmap,DONSON,0.15787211853135444
depmap,DPAGT1,0.16484851116821764
depmap,DPH2,0.11769184238963187
depmap,DRAP1,0.15558706000953768
depmap,DSG2,0.47006298501858323
depmap,DTYMK,0.13908712923233943
depmap,DUSP11,0.09854477601893408
depmap,DUSP14,0.26525691394653
depmap,DUSP22,0.3104640386230459
depmap,DUSP3,0.4247657234770391
depmap,DUSP4,0.3079819710602586
depmap,DUSP6,0.20225497916133123
depmap,DUT,0.23457443573912884
depmap,DYNLRB1,0.1355153310449276
depmap,DYRK3,0.23317104955703405
depmap,E2F2,0.3369311461237114
depmap,EAPP,0.0732966745135487
depmap,EBNA1BP2,0.161787667793594
depmap,ECD,0.09772075341464988
depmap,ECH1,0.09803928271931295
depmap,EDEM1,0.31782902911188793
depmap,EDN1,0.2711603732873765
depmap,EED,0.14424864018400294
depmap,EEF1A1,0.23090051609144802
depmap,EEF2,0.22294299930494788
depmap,EFCAB14,0.15778013566974397
depmap,EFR3A,0.15104570734704767
depmap,EGF,0.2311968224525775
depmap,EGFR,0.5171755712898278
depmap,EGR1,0.12695951361876007
depmap,EIF1AX,0.10955292592128611
depmap,EIF4A1,0.155397465593619
depmap,EIF4EBP1,0.12545096901793687
depmap,EIF5,0.1957306711522342
depmap,ELAC2,0.1268689218880132
depmap,ELAVL1,0.1948417482792439
depmap,ELL,0.22272224140993035
depmap,ELOVL6,0.08938460365119136
depmap,EMC3,0.17097846615927767
depmap,EML3,0.17088927666198286
depmap,ENOPH1,0.14161079574474023
depmap,ENOSF1,0.28734172537185554
depmap,EP300,0.11879673090676121
depmap,EPB41L2,0.20767045114615942
depmap,EPHA3,0.2438996185049624
depmap,EPHB2,0.36008536649736195
depmap,EPN2,0.33375318166725515
depmap,EPRS1,0.11496405485987463
depmap,ERBB2,0.45720697847477076
depmap,ERBB3,0.5238980355932014
depmap,ESPL1,0.20900962706516488
depmap,ESR1,0.18266991711217467
depmap,ETFB,0.09380082035498981
depmap,ETS1,0.2459391634192706
depmap,ETV1,0.3374434151806277
depmap,EVL,0.4248178557257715
depmap,EXO1,0.17960889658023232
depmap,EXOSC4,0.1181877919861785
depmap,EXT1,0.4441475957980529
depmap,EZH2,0.27565734171052114
depmap,FAH,0.21063904392187
depmap,FAIM,0.12740445397632974
depmap,FAM20B,0.2365153498635597
depmap,FAM50A,0.19121510981035805
depmap,FARSB,0.1731288679767165
depmap,FAS,0.17498830401648038
depmap,FAT1,0.4378308914914801
depmap,FAU,0.15671013121232844
depmap,FBXL12,0.18904518303106793
depmap,FBXO11,0.10663118542642401
depmap,FBXO21,0.295090224875744
depmap,FBXO7,0.3155542769447281
depmap,FCHO1,0.39157180463959024
depmap,FDFT1,0.13202689605987616
depmap,FERMT2,0.4931996554270551
depmap,FEZ2,0.24510116240619223
depmap,FGFR2,0.25005735566869725
depmap,FGFR4,0.3151542027293929
depmap,FHL2,0.4474763163035825
depmap,FIS1,0.12819804017484526
depmap,FKBP14,0.2199327215972291
depmap,FKBP4,0.1556691246495661
depmap,FOS,0.1882478530380177
depmap,FOSL1,0.31819103934937615
depmap,FOXA1,0.45680784297147076
depmap,FOXC1,0.2486458280101169
depmap,FOXJ3,0.1294874790866487
depmap,FOXO3,0.11390695306510795
depmap,FPGS,0.09326014781823089
depmap,FRS2,0.21983662646865068
depmap,FSD1,0.3194198055287045
depmap,FUT1,0.34378228317123205
depmap,FYN,0.2519076952175877
depmap,FZD1,0.27288164831377004
depmap,FZD7,0.26429261171092777
depmap,G3BP1,0.14432065681056164
depmap,GAA,0.11800182658947915
depmap,GABPB1,0.1419433418215547
depmap,GADD45A,0.12943117136909074
depmap,GADD45B,0.21447004761456465
depmap,GALE,0.30013094113466277
depmap,GAPDH,0.13054890886190104
depmap,GARRE1,0.14644490787663295
depmap,GATA2,0.3403249532236454
depmap,GATA3,0.3407922427707305
