,eta2
RXRG,0.5634767714256923
S100A13,0.5763067543155876
S100A4,0.15508404731552605
S1PR1,0.15980007286206518
S1PR2,0.2980098014899669
S1PR3,0.30821407242260934
SACM1L,0.271808067764329
SCAND1,0.10339406433233954
SCARB1,0.1819695109492237
SCCPDH,0.08206388604586562
SCP2,0.10176776833791354
SCRN1,0.3804946967048263
SCYL3,0.19587286507795354
SDHB,0.18516137400768468
SENP6,0.12267631876787834
SERPINE1,0.4163342569744971
SESN1,0.16146722637513689
SFN,0.6243321857204446
SFRP1,0.3473291732174811
SGCB,0.42563355478868903
SH3BP5,0.22015739645713836
SHC1,0.29026839164641427
SIRT1,0.17981953393304953
SIRT2,0.1386994586809277
SIRT3,0.054468342424759716
SKIC2,0.11173022637129323
SKIC8,0.2533788682002591
SKP1,0.18676685322611664
SLC11A2,0.14617965335336314
SLC1A4,0.3608905081820554
SLC25A13,0.2828145808492936
SLC25A4,0.18976596312675126
SLC25A46,0.20596985083755176
SLC27A3,0.13890109146226065
SLC2A6,0.19605041570624349
SLC35A1,0.09186036375330783
SLC35A3,0.20271213774230445
SLC35B1,0.16630467560679474
SLC35F2,0.13319770258931385
SLC37A4,0.15796625932687408
SLC39A6,0.28758192540826966
SLC5A1,0.32179265249289357
SLC5A6,0.3046810778389106
SLC7A11,0.20215044901128756
SMAD3,0.27177983146718293
SMARCA4,0.20868133518379975
SMARCC1,0.2859805263149861
SMARCD2,0.26753774680117803
SMC3,0.14032882287338005
SMC4,0.056275065900623755
SMNDC1,0.06307163303844146
SMO,0.30779001106843323
SNAP25,0.28399768938914205
SNCA,0.36297658049237613
SNX11,0.10889038390412041
SNX13,0.2897990929592436
SNX6,0.22029795922526024
SNX7,0.6572876622557405
SOCS2,0.12820787559562055
SORBS3,0.3630362930716125
SOX4,0.11518401977830214
SPAG4,0.12883983732466653
SPAG7,0.1180879470666542
SPDEF,0.38358827314461
SPEN,0.14859703420468492
SPHK1,0.2851718515184696
SPP1,0.319257803078276
SPR,0.5593780602446167
SPRED2,0.16718350036991161
SPTAN1,0.19329429720928007
SPTLC2,0.12292771439371634
SQSTM1,0.3734896678155272
SRC,0.45119281776350484
SRD5A2,0.03324369995660977
SSBP2,0.32604544589387024
