dataset,variant,method,tau,auroc,sem,n,published,abs_diff_vs_published
ctrpv2,marginal,adae,0.3,0.5404858684656177,0.0043852950294540685,330,,
ctrpv2,marginal,adae,0.4,0.5308648660309789,0.005366635450549188,330,,
ctrpv2,marginal,adae,0.5,0.5267719587256011,0.007084534741520477,330,,
ctrpv2,marginal,adae,0.6,0.532176014345132,0.009443940030448872,330,,
ctrpv2,marginal,adae,0.7,0.49812861159189353,0.01165184986647162,330,,
ctrpv2,all4,adae,0.3,0.5425122043594749,0.005281036690777089,226,,
ctrpv2,all4,adae,0.4,0.5315824796681381,0.006443853882535731,226,,
ctrpv2,all4,adae,0.5,0.5291715478449933,0.008609934672256103,226,,
ctrpv2,all4,adae,0.6,0.5340960499243945,0.01129714358141481,226,,
ctrpv2,all4,adae,0.7,0.5030615083026446,0.013941845087350194,226,,
ctrpv2,full,between_tissue,0.3,0.676525118244019,0.0023531410052936293,440,0.676525118244019,0.0
ctrpv2,full,between_tissue,0.4,0.6657187711236715,0.003093566768784026,440,0.6657187711236715,0.0
ctrpv2,full,between_tissue,0.5,0.6430298798883236,0.004613415909296154,440,0.6430298798883236,0.0
ctrpv2,full,between_tissue,0.6,0.6178384919308632,0.0064645005019282695,440,0.6178384919308632,0.0
ctrpv2,full,between_tissue,0.7,0.5825812522322041,0.00925675516187412,440,0.5825812522322041,0.0
ctrpv2,a61,between_tissue,0.3,0.6921373269488689,0.002628994352510866,232,,
ctrpv2,a61,between_tissue,0.4,0.684194652199292,0.003612471028730502,232,,
ctrpv2,a61,between_tissue,0.5,0.6690779889783658,0.005513180725969234,232,,
ctrpv2,a61,between_tissue,0.6,0.6500263359654206,0.007838129436551575,232,,
ctrpv2,a61,between_tissue,0.7,0.6259795646147914,0.011711858913365717,232,,
ctrpv2,marginal,between_tissue,0.3,0.686864637558948,0.0023842877355106967,330,,
ctrpv2,marginal,between_tissue,0.4,0.6769290316549452,0.003252872894336604,330,,
ctrpv2,marginal,between_tissue,0.5,0.6584191746443403,0.004944673723889334,330,,
ctrpv2,marginal,between_tissue,0.6,0.6339940900602665,0.00707654783467743,330,,
ctrpv2,marginal,between_tissue,0.7,0.6060198540252937,0.010187806677128836,330,,
ctrpv2,all4,between_tissue,0.3,0.6910827612635073,0.0026346680190417254,226,,
ctrpv2,all4,between_tissue,0.4,0.683000862415351,0.003638452647498103,226,,
ctrpv2,all4,between_tissue,0.5,0.6675981962127422,0.005603926452416775,226,,
ctrpv2,all4,between_tissue,0.6,0.6481886449269973,0.007958618863005468,226,,
ctrpv2,all4,between_tissue,0.7,0.6240074668977341,0.011813006025352195,226,,
