item,method,K,contamination
BRD-A02303741-navitoclax_(2-1_mol-mol),irm,10,0.2
BRD-A02303741-navitoclax_(2-1_mol-mol),irm,50,0.2
BRD-A02303741-navitoclax_(2-1_mol-mol),irm,100,0.23
BRD-A02303741-navitoclax_(2-1_mol-mol),within_tissue,10,0.0
BRD-A02303741-navitoclax_(2-1_mol-mol),within_tissue,50,0.1
BRD-A02303741-navitoclax_(2-1_mol-mol),within_tissue,100,0.11
BRD-A02303741-navitoclax_(2-1_mol-mol),dann,10,0.2
BRD-A02303741-navitoclax_(2-1_mol-mol),dann,50,0.24
BRD-A02303741-navitoclax_(2-1_mol-mol),dann,100,0.24
BRD-A02303741-navitoclax_(2-1_mol-mol),adae,10,0.1
BRD-A02303741-navitoclax_(2-1_mol-mol),adae,50,0.1
BRD-A02303741-navitoclax_(2-1_mol-mol),adae,100,0.16
BRD-A71883111,marginal,10,0.1
BRD-A71883111,marginal,50,0.22
BRD-A71883111,marginal,100,0.37
BRD-A71883111,residualized,10,0.0
BRD-A71883111,residualized,50,0.06
BRD-A71883111,residualized,100,0.12
BRD-A71883111,irm,10,0.5
BRD-A71883111,irm,50,0.4
BRD-A71883111,irm,100,0.32
BRD-A71883111,within_tissue,10,0.0
BRD-A71883111,within_tissue,50,0.12
BRD-A71883111,within_tissue,100,0.17
BRD-A71883111,dann,10,0.2
BRD-A71883111,dann,50,0.32
BRD-A71883111,dann,100,0.37
BRD-A71883111,adae,10,0.0
BRD-A71883111,adae,50,0.06
BRD-A71883111,adae,100,0.12
BRD-A94377914,marginal,10,0.3
BRD-A94377914,marginal,50,0.24
BRD-A94377914,marginal,100,0.27
BRD-A94377914,residualized,10,0.0
BRD-A94377914,residualized,50,0.12
BRD-A94377914,residualized,100,0.14
BRD-A94377914,irm,10,0.5
BRD-A94377914,irm,50,0.38
BRD-A94377914,irm,100,0.33
BRD-A94377914,within_tissue,10,0.2
BRD-A94377914,within_tissue,50,0.12
BRD-A94377914,within_tissue,100,0.2
BRD-A94377914,dann,10,0.2
BRD-A94377914,dann,50,0.24
BRD-A94377914,dann,100,0.22
BRD-A94377914,adae,10,0.3
BRD-A94377914,adae,50,0.38
BRD-A94377914,adae,100,0.34
BRD-K02251932,marginal,10,0.3
BRD-K02251932,marginal,50,0.44
BRD-K02251932,marginal,100,0.43
BRD-K02251932,residualized,10,0.0
BRD-K02251932,residualized,50,0.12
BRD-K02251932,residualized,100,0.12
BRD-K02251932,irm,10,0.5
BRD-K02251932,irm,50,0.44
BRD-K02251932,irm,100,0.35
BRD-K02251932,within_tissue,10,0.2
BRD-K02251932,within_tissue,50,0.28
BRD-K02251932,within_tissue,100,0.35
BRD-K02251932,dann,10,0.2
BRD-K02251932,dann,50,0.34
BRD-K02251932,dann,100,0.33
BRD-K02251932,adae,10,0.3
BRD-K02251932,adae,50,0.28
BRD-K02251932,adae,100,0.34
BRD-K11533227,marginal,10,0.3
BRD-K11533227,marginal,50,0.24
BRD-K11533227,marginal,100,0.22
BRD-K11533227,residualized,10,0.2
BRD-K11533227,residualized,50,0.12
BRD-K11533227,residualized,100,0.11
BRD-K11533227,irm,10,0.4
BRD-K11533227,irm,50,0.26
BRD-K11533227,irm,100,0.23
BRD-K11533227,within_tissue,10,0.0
BRD-K11533227,within_tissue,50,0.1
BRD-K11533227,within_tissue,100,0.19
BRD-K11533227,dann,10,0.2
BRD-K11533227,dann,50,0.16
BRD-K11533227,dann,100,0.16
BRD-K11533227,adae,10,0.0
BRD-K11533227,adae,50,0.12
BRD-K11533227,adae,100,0.19
BRD-K13999467,marginal,10,0.4
BRD-K13999467,marginal,50,0.46
BRD-K13999467,marginal,100,0.45
BRD-K13999467,residualized,10,0.2
BRD-K13999467,residualized,50,0.2
BRD-K13999467,residualized,100,0.18
BRD-K13999467,irm,10,0.4
BRD-K13999467,irm,50,0.42
BRD-K13999467,irm,100,0.36
BRD-K13999467,within_tissue,10,0.2
BRD-K13999467,within_tissue,50,0.34
BRD-K13999467,within_tissue,100,0.37
BRD-K13999467,dann,10,0.2
BRD-K13999467,dann,50,0.42
BRD-K13999467,dann,100,0.38
BRD-K13999467,adae,10,0.1
BRD-K13999467,adae,50,0.32
BRD-K13999467,adae,100,0.31
BRD-K14844214,marginal,10,0.6
BRD-K14844214,marginal,50,0.36
BRD-K14844214,marginal,100,0.38
BRD-K14844214,residualized,10,0.0
BRD-K14844214,residualized,50,0.14
BRD-K14844214,residualized,100,0.17
BRD-K14844214,irm,10,0.3
BRD-K14844214,irm,50,0.38
BRD-K14844214,irm,100,0.3
BRD-K14844214,within_tissue,10,0.4
BRD-K14844214,within_tissue,50,0.24
BRD-K14844214,within_tissue,100,0.32
