item,method,K,contamination
ATP6AP1,within_tissue,100,0.15
ATP6AP1,dann,10,0.3
ATP6AP1,dann,50,0.28
ATP6AP1,dann,100,0.29
ATP6AP1,adae,10,0.1
ATP6AP1,adae,50,0.34
ATP6AP1,adae,100,0.39
ATP6V0C,marginal,10,0.2
ATP6V0C,marginal,50,0.3
ATP6V0C,marginal,100,0.29
ATP6V0C,residualized,10,0.1
ATP6V0C,residualized,50,0.18
ATP6V0C,residualized,100,0.13
ATP6V0C,irm,10,0.3
ATP6V0C,irm,50,0.3
ATP6V0C,irm,100,0.25
ATP6V0C,within_tissue,10,0.2
ATP6V0C,within_tissue,50,0.22
ATP6V0C,within_tissue,100,0.19
ATP6V0C,dann,10,0.3
ATP6V0C,dann,50,0.24
ATP6V0C,dann,100,0.26
ATP6V0C,adae,10,0.8
ATP6V0C,adae,50,0.6
ATP6V0C,adae,100,0.58
ATP6V1A,marginal,10,0.3
ATP6V1A,marginal,50,0.22
ATP6V1A,marginal,100,0.23
ATP6V1A,residualized,10,0.1
ATP6V1A,residualized,50,0.12
ATP6V1A,residualized,100,0.12
ATP6V1A,irm,10,0.0
ATP6V1A,irm,50,0.24
ATP6V1A,irm,100,0.23
ATP6V1A,within_tissue,10,0.0
ATP6V1A,within_tissue,50,0.2
ATP6V1A,within_tissue,100,0.13
ATP6V1A,dann,10,0.3
ATP6V1A,dann,50,0.24
ATP6V1A,dann,100,0.26
ATP6V1A,adae,10,0.5
ATP6V1A,adae,50,0.26
ATP6V1A,adae,100,0.27
ATP6V1B2,marginal,10,0.4
ATP6V1B2,marginal,50,0.22
ATP6V1B2,marginal,100,0.21
ATP6V1B2,residualized,10,0.2
ATP6V1B2,residualized,50,0.24
ATP6V1B2,residualized,100,0.2
ATP6V1B2,irm,10,0.5
ATP6V1B2,irm,50,0.24
ATP6V1B2,irm,100,0.23
ATP6V1B2,within_tissue,10,0.1
ATP6V1B2,within_tissue,50,0.14
ATP6V1B2,within_tissue,100,0.15
ATP6V1B2,dann,10,0.4
ATP6V1B2,dann,50,0.28
ATP6V1B2,dann,100,0.26
ATP6V1B2,adae,10,0.5
ATP6V1B2,adae,50,0.38
ATP6V1B2,adae,100,0.42
ATP6V1F,marginal,10,0.4
ATP6V1F,marginal,50,0.22
ATP6V1F,marginal,100,0.2
ATP6V1F,residualized,10,0.1
ATP6V1F,residualized,50,0.1
ATP6V1F,residualized,100,0.11
ATP6V1F,irm,10,0.4
ATP6V1F,irm,50,0.2
ATP6V1F,irm,100,0.26
ATP6V1F,within_tissue,10,0.2
ATP6V1F,within_tissue,50,0.12
ATP6V1F,within_tissue,100,0.14
ATP6V1F,dann,10,0.4
ATP6V1F,dann,50,0.16
ATP6V1F,dann,100,0.22
ATP6V1F,adae,10,0.1
ATP6V1F,adae,50,0.28
ATP6V1F,adae,100,0.3
BCL2L1,marginal,10,0.2
BCL2L1,marginal,50,0.26
BCL2L1,marginal,100,0.26
BCL2L1,residualized,10,0.1
BCL2L1,residualized,50,0.14
BCL2L1,residualized,100,0.16
BCL2L1,irm,10,0.2
BCL2L1,irm,50,0.22
BCL2L1,irm,100,0.22
BCL2L1,within_tissue,10,0.1
BCL2L1,within_tissue,50,0.08
BCL2L1,within_tissue,100,0.11
BCL2L1,dann,10,0.2
BCL2L1,dann,50,0.18
BCL2L1,dann,100,0.19
BCL2L1,adae,10,0.6
BCL2L1,adae,50,0.54
BCL2L1,adae,100,0.47
BUB3,marginal,10,0.1
BUB3,marginal,50,0.18
BUB3,marginal,100,0.22
BUB3,residualized,10,0.1
BUB3,residualized,50,0.06
BUB3,residualized,100,0.12
BUB3,irm,10,0.1
BUB3,irm,50,0.12
BUB3,irm,100,0.17
BUB3,within_tissue,10,0.1
BUB3,within_tissue,50,0.1
BUB3,within_tissue,100,0.13
BUB3,dann,10,0.2
BUB3,dann,50,0.22
BUB3,dann,100,0.21
BUB3,adae,10,0.4
BUB3,adae,50,0.3
BUB3,adae,100,0.25
CBFB,marginal,10,0.5
CBFB,marginal,50,0.36
CBFB,marginal,100,0.28
CBFB,residualized,10,0.3
CBFB,residualized,50,0.28
CBFB,residualized,100,0.22
CBFB,irm,10,0.1
CBFB,irm,50,0.22
CBFB,irm,100,0.22
CBFB,within_tissue,10,0.1
CBFB,within_tissue,50,0.14
CBFB,within_tissue,100,0.13
CBFB,dann,10,0.2
CBFB,dann,50,0.16
CBFB,dann,100,0.17
CBFB,adae,10,0.8
CBFB,adae,50,0.74
CBFB,adae,100,0.66
CCND1,marginal,10,0.3
CCND1,marginal,50,0.26
CCND1,marginal,100,0.23
CCND1,residualized,10,0.3
CCND1,residualized,50,0.22
CCND1,residualized,100,0.2
CCND1,irm,10,0.3
CCND1,irm,50,0.32
CCND1,irm,100,0.3
CCND1,within_tissue,10,0.1
CCND1,within_tissue,50,0.14
CCND1,within_tissue,100,0.18
CCND1,dann,10,0.3
CCND1,dann,50,0.22
CCND1,dann,100,0.24
CCND1,adae,10,0.5
