dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,FAU,residualized,grad_x_input,0.04,0.0327597184643277,1076
depmap,FAU,residualized,lrp_eps,0.04,0.0464975528888415,1076
depmap,FAU,residualized,lrp_ab,0.22,0.0240986433270097,1076
depmap,FAU,residualized,int_grad,0.06,0.0332419432470701,1076
depmap,FAU,residualized,lime,0.08,0.0268801866524095,1076
depmap,UTP4,marginal,shap,0.22,0.1014037518220199,1076
depmap,UTP4,marginal,grad_x_input,0.24,0.0937941718837366,1076
depmap,UTP4,marginal,lrp_eps,0.28,0.0965936971102473,1076
depmap,UTP4,marginal,lrp_ab,0.26,0.1095064686866983,1076
depmap,UTP4,marginal,int_grad,0.24,0.0948141586574916,1076
depmap,UTP4,marginal,lime,0.12,0.0364615249543432,1076
depmap,UTP4,residualized,shap,0.12,0.0337212207405704,1076
depmap,UTP4,residualized,grad_x_input,0.1,0.0323119988456493,1076
depmap,UTP4,residualized,lrp_eps,0.1,0.0450271165423373,1076
depmap,UTP4,residualized,lrp_ab,0.22,0.0210162121063229,1076
depmap,UTP4,residualized,int_grad,0.1,0.0321858071047872,1076
depmap,UTP4,residualized,lime,0.22,0.026851144258683,1076
depmap,PFN1,marginal,shap,0.18,0.0881012330335187,1076
depmap,PFN1,marginal,grad_x_input,0.2,0.0731465130720819,1076
depmap,PFN1,marginal,lrp_eps,0.2,0.076884757015998,1076
depmap,PFN1,marginal,lrp_ab,0.38,0.122126243156258,1076
depmap,PFN1,marginal,int_grad,0.2,0.0760363804867209,1076
depmap,PFN1,marginal,lime,0.2,0.034000170560502,1076
depmap,PFN1,residualized,shap,0.14,0.0320953687713452,1076
depmap,PFN1,residualized,grad_x_input,0.14,0.0304183106606346,1076
depmap,PFN1,residualized,lrp_eps,0.14,0.0342025366111732,1076
depmap,PFN1,residualized,lrp_ab,0.2,0.0245345089197365,1076
depmap,PFN1,residualized,int_grad,0.14,0.030754150118942,1076
depmap,PFN1,residualized,lime,0.18,0.0271198035607779,1076
depmap,PPWD1,marginal,shap,0.22,0.1033722109282326,1076
depmap,PPWD1,marginal,grad_x_input,0.24,0.0944386175723237,1076
depmap,PPWD1,marginal,lrp_eps,0.24,0.0954432837899348,1076
depmap,PPWD1,marginal,lrp_ab,0.18,0.2691016137432992,1076
depmap,PPWD1,marginal,int_grad,0.24,0.0956552933504639,1076
depmap,PPWD1,marginal,lime,0.2,0.038092283080556,1076
depmap,PPWD1,residualized,shap,0.04,0.0335364554567094,1076
depmap,PPWD1,residualized,grad_x_input,0.02,0.0320793719664574,1076
depmap,PPWD1,residualized,lrp_eps,0.02,0.0392781643913356,1076
depmap,PPWD1,residualized,lrp_ab,0.14,0.0425351871123769,1076
depmap,PPWD1,residualized,int_grad,0.02,0.0327809969290814,1076
depmap,PPWD1,residualized,lime,0.02,0.0257285707660302,1076
