target,r_wt_baseline,r_wt_between_tissue,r_wt_irm,r_wt_marginal,r_wt_residualized,r_wt_within_tissue,sig_marginal,sig_residualized,sig_irm,sig_within_tissue,in_a61,in_marginal,in_all4
MSTO1,-0.2746533095355185,-0.2742006176419823,0.1798591063624488,0.2883121792094897,0.279200559621397,0.2883121792094897,True,True,True,True,True,True,True
MYC,-0.2815076093229497,-0.2812134338385265,0.2009144373043495,0.3566198231413593,0.3290580832057435,0.3566198231413593,True,True,True,True,True,True,True
MYH9,-0.2643538435067569,-0.2638843652854842,0.202082989230015,0.348603880318135,0.3108768671438481,0.348603880318135,True,True,True,True,True,True,True
NAA10,-0.2912489719436706,-0.2909921597990794,0.1331293722476392,0.2167725053489653,0.1976797581216853,0.2167725053489653,True,True,True,True,True,True,True
NAPG,-0.2803405461802888,-0.2797112294203601,0.1605901111962586,0.2893897487453403,0.215123369629241,0.2893897487453403,True,True,True,True,True,True,True
NCAPD3,-0.2728364715005133,-0.2717498101259101,0.1063736691512324,0.2195495492389788,0.1644879600547384,0.2195495492389788,True,True,True,True,True,True,True
NELFB,-0.280143666830038,-0.2798915891853141,0.089566105103852,0.1716816092581235,0.0882612322673501,0.1716816092581235,True,True,True,True,True,True,True
NF2,-0.2938587495294651,-0.2931374937812184,0.1879128311353104,0.3559692144812133,0.3212961075749421,0.3559692144812133,True,True,True,True,True,True,True
NHLRC2,-0.2593090652445208,-0.2587676113200824,0.1933262859130863,0.3231360024737089,0.2992321810503198,0.3231360024737089,True,True,True,True,True,True,True
NMNAT1,-0.2725602098764136,-0.2720884995902849,0.0366668812841645,0.1874458793860298,0.1344959835840627,0.1874458793860298,True,True,False,True,True,True,False
NPM1,-0.4172930594327015,-0.4160485863300991,0.10166733958327,0.1423193701349894,0.0104641360684518,0.1423193701349894,True,False,False,True,False,True,False
NSF,-0.270224672098138,-0.2700025217100792,0.051347587905709,0.0558442188265645,0.0135997974244531,0.0558442188265645,True,False,False,True,False,True,False
NUP43,-0.2760172716840407,-0.2753092587133093,0.1471366217742256,0.178379812452135,0.1208871321772966,0.178379812452135,True,True,True,True,True,True,True
NXT1,-0.2760655792458288,-0.2762000911823545,0.2028078596722403,0.3682676566301043,0.373857479756589,0.3682676566301043,True,True,True,True,True,True,True
ORC6,-0.2645423116224453,-0.2644168462926607,0.1027386356774774,0.2074864553122992,0.2100490433924979,0.2074864553122992,True,True,True,True,True,True,True
PCNA,-0.2800350689051991,-0.2797938896283749,0.0547394816023911,0.0151245903167207,-0.0271422346623454,0.0151245903167207,False,False,True,False,False,False,False
PDCD2,-0.2891059652046668,-0.2888114749132366,0.1986587379629574,0.3041577494941355,0.257967966353976,0.3041577494941355,True,True,True,True,True,True,True
PELO,-0.2690403643764984,-0.2687306905810576,0.1929308538411908,0.2468781181940758,0.2309729679186898,0.2468781181940758,True,True,True,True,True,True,True
PFN1,-0.2894798533596245,-0.2889386984646575,0.1517010483580284,0.2634366391823931,0.1699504983484437,0.2634366391823931,True,True,True,True,True,True,True
PGD,-0.2724070851386772,-0.2722253440857194,0.1459541672111715,0.2515161113638693,0.179793790002152,0.2515161113638693,True,True,True,True,True,True,True
PGK1,-0.2767783703180286,-0.2762492126114929,0.1899329054469949,0.2948205892287743,0.2429899003844814,0.2948205892287743,True,True,True,True,True,True,True
PKMYT1,-0.2930594002594562,-0.2922806839325238,0.1745420726807024,0.2319065552117535,0.160949302759706,0.2319065552117535,True,True,True,True,True,True,True
PLK1,-0.2739608332548645,-0.2736801113109054,0.0566110173277384,0.0661021235200347,0.0210941336700117,0.0661021235200347,True,False,True,True,False,True,False
POLR2L,-0.2625701483663988,-0.2624074876698027,0.0276497672280761,0.0424439211640728,-0.0187177915235014,0.0424439211640728,False,False,False,False,False,False,False
POP5,-0.282566232872309,-0.2821498538952924,0.0975036681832196,0.1535396745343911,0.1277248308107642,0.1535396745343911,True,True,True,True,True,True,True
PPP1R12A,-0.247485652057124,-0.247051042961575,0.2210221329338979,0.3501221765750905,0.3316883172158718,0.3501221765750905,True,True,True,True,True,True,True
PPP1R15B,-0.2658829386086498,-0.2655848547794523,0.2155338413412648,0.3316455027755409,0.3148222543915765,0.3316455027755409,True,True,True,True,True,True,True
PPP2CA,-0.2806655222831338,-0.280859954183108,0.1293272775680351,0.2803451750088805,0.2063278810316177,0.2803451750088805,True,True,True,True,True,True,True
PPP2R1A,-0.2809607952341109,-0.2807431059988327,0.2689754298430429,0.3362981070713075,0.3052172125855062,0.3362981070713075,True,True,True,True,True,True,True
PPWD1,-0.280379957844203,-0.2800036911390522,0.0747600128398654,0.1049204319313533,0.0870894943098491,0.1049204319313533,True,True,True,True,True,True,True
PRKRA,-0.264954847527148,-0.2644800192872039,0.1805001253203668,0.3045158388593984,0.2748689006439193,0.3045158388593984,True,True,True,True,True,True,True
PSMA3,-0.2717075781497087,-0.2713537355308327,0.0241132636964121,0.0558151453452189,0.044933460470821,0.0558151453452189,True,False,False,True,False,True,False
PSMB5,-0.2706888995146327,-0.2700672035694851,0.2048649567148143,0.279745746484858,0.3229512731949773,0.279745746484858,True,True,True,True,True,True,True
PSMB6,-0.2747504511738778,-0.2747813563974516,0.1381671037266182,0.1976289273085899,0.1147808436976208,0.1976289273085899,True,True,True,True,True,True,True
PSMD14,-0.2579005366486281,-0.2571542570750392,0.0615049576814163,0.0930490298687319,0.0685761266081833,0.0930490298687319,True,True,True,True,True,True,True
PSMD7,-0.2789573876997824,-0.2784874184423049,0.0107868907305105,0.0618786004950466,0.0282912926696896,0.0618786004950466,True,False,False,True,False,True,False
PSMG4,-0.2671754281848318,-0.2663006368541538,0.0395212588249555,0.0900204935398792,0.0242251577856896,0.0900204935398792,True,False,False,True,False,True,False
RACK1,-0.275318437826697,-0.2747956749434084,-0.002738778646332,-0.0052951158455907,-0.0901695190290395,-0.0052951158455907,False,False,False,False,False,False,False
RAD9A,-0.2734586787924981,-0.2733077286057556,0.1000167856575192,0.1940052122457801,0.1944055790206972,0.1940052122457801,True,True,True,True,True,True,True
RAN,-0.2422744762904853,-0.2419056443926796,0.0480679991211221,0.0487262852150147,-0.0661986000341859,0.0487262852150147,False,False,False,False,False,False,False
RIC1,-0.2741411287642173,-0.2738913951063955,0.1802946754287116,0.3270151065042576,0.2957229245735888,0.3270151065042576,True,True,True,True,True,True,True
RPL12,-0.2786248271499936,-0.2780867890201521,0.0749098497436556,0.0922903259909546,0.0522068280565393,0.0922903259909546,True,False,True,True,False,True,False
RPL13A,-0.4038646344683508,-0.4031711885404295,0.0225286379893988,-0.041472342983749,-0.1897645795621031,-0.041472342983749,False,False,False,False,False,False,False
RPL21,-0.3753624124990231,-0.3751702690094737,0.0104877592892671,0.0122888067751164,0.0387021891923909,0.0122888067751164,False,False,False,False,False,False,False
RPL23A,-0.3632931498789068,-0.3624115915703307,-0.0035682271629706,0.022331528859289,-0.0669667952318736,0.022331528859289,False,False,False,False,False,False,False
RPL36A,-0.4198603445242515,-0.4190748793787742,0.1358545256790294,0.2135685194560626,0.1347139912800918,0.2135685194560626,True,True,True,True,True,True,True
RPL4,-0.2926824130074378,-0.2919209484764224,0.0402326029527023,0.071732849498502,0.0215409668352512,0.071732849498502,True,False,False,True,False,True,False
RPL6,-0.4066503185379784,-0.4064679417005062,-0.0179003274735984,-0.0016950603048066,-0.0854869669830021,-0.0016950603048066,False,False,False,False,False,False,False
RPL7A,-0.2762753642230473,-0.2757631183191514,0.0229180115991104,0.0278494243114369,0.0399979995766844,0.0278494243114369,False,False,False,False,False,False,False
RPL9,-0.2922800703701987,-0.2918997630736897,0.0891414259701291,0.1147731262279133,0.0690398876632207,0.1147731262279133,True,True,True,True,True,True,True
RPP21,-0.2647579438754948,-0.2646185767587773,0.1145205618728315,0.1915329527883513,0.181464770759929,0.1915329527883513,True,True,True,True,True,True,True
RPP25L,-0.2863481700089851,-0.2859269378596527,0.1068100465055222,0.1980558350081619,0.1015674993902887,0.1980558350081619,True,True,True,True,True,True,True
