dataset,seed,item,method,n_cells,n_tissues,n_eff_foldsym,wt_tissue,wt_tissue_recon,wt_foldsym,wt_foldsym_stripped
ctrpv2,2,BMS-345541,baseline,727,23,716,-0.3289357028875958,-0.3289357028875958,,
ctrpv2,2,BMS-345541,marginal,727,23,716,0.19730355825237744,0.19730355825237744,0.1942797894839572,0.1942797894839572
ctrpv2,2,BMS-345541,residualized,727,23,716,0.23440398236128915,0.14183680735170473,0.21257097908519101,0.21257097908519096
ctrpv2,2,BMS-345541,irm,727,23,716,0.1581948178683077,0.1581948178683077,0.1811757482226466,0.1811757482226466
ctrpv2,2,BMS-345541,dann,727,23,716,0.1985269800502277,0.1985269800502277,0.19774633085010893,0.19774633085010893
ctrpv2,2,BMS-345541,adae,727,23,716,0.18513767239935994,0.18513767239935994,0.20483525867012858,0.20483525867012858
ctrpv2,2,BMS-536924,baseline,707,23,696,-0.31250066606146737,-0.31250066606146737,,
ctrpv2,2,BMS-536924,marginal,707,23,696,0.15833184525712174,0.15833184525712174,0.2218049300682955,0.2218049300682955
ctrpv2,2,BMS-536924,residualized,707,23,696,0.18530376888176048,0.029789312480934388,0.18693820974604453,0.1869382097460445
ctrpv2,2,BMS-536924,irm,707,23,696,0.15475033766859908,0.15475033766859908,0.22025176299875296,0.22025176299875296
ctrpv2,2,BMS-536924,dann,707,23,696,0.1445828646555315,0.1445828646555315,0.20836478223336785,0.20836478223336785
ctrpv2,2,BMS-536924,adae,707,23,696,0.14892432780090356,0.14892432780090356,0.18665985839486776,0.18665985839486776
ctrpv2,2,BMS-754807,baseline,656,23,645,-0.35088349779829814,-0.35088349779829814,,
ctrpv2,2,BMS-754807,marginal,656,23,645,0.3078641109468469,0.3078641109468469,0.3436111970562688,0.3436111970562688
ctrpv2,2,BMS-754807,residualized,656,23,645,0.27527163639186064,0.17502399803676724,0.2851218533585071,0.2851218533585071
ctrpv2,2,BMS-754807,irm,656,23,645,0.27613557629625596,0.27613557629625596,0.3197428595139424,0.3197428595139424
ctrpv2,2,BMS-754807,dann,656,23,645,0.2966656751573524,0.2966656751573524,0.326413597422289,0.326413597422289
ctrpv2,2,BMS-754807,adae,656,23,645,0.2645733010967173,0.2645733010967173,0.26837643928583693,0.26837643928583693
ctrpv2,2,BRD-A02303741-carboplatin_(1-1_mol-mol),baseline,137,20,111,-0.5072065176430085,-0.5072065176430085,,
ctrpv2,2,BRD-A02303741-carboplatin_(1-1_mol-mol),marginal,137,20,111,-0.1698241100509161,-0.1698241100509161,-0.07409686799814212,-0.07409686799814212
ctrpv2,2,BRD-A02303741-carboplatin_(1-1_mol-mol),residualized,137,20,111,-0.050317808734658576,-0.4675481429654341,-0.1686067845528474,-0.1686067845528474
ctrpv2,2,BRD-A02303741-carboplatin_(1-1_mol-mol),irm,137,20,111,-0.09844458850244737,-0.09844458850244737,-0.0954702709784087,-0.0954702709784087
ctrpv2,2,BRD-A02303741-carboplatin_(1-1_mol-mol),dann,137,20,111,-0.13512777879246005,-0.13512777879246005,-0.03124471944886254,-0.03124471944886254
ctrpv2,2,BRD-A02303741-carboplatin_(1-1_mol-mol),adae,137,20,111,-0.07046754891365861,-0.07046754891365861,-0.007964493017005383,-0.007964493017005383
ctrpv2,2,BRD-A02303741-navitoclax_(2-1_mol-mol),baseline,460,22,445,-0.397279608085501,-0.397279608085501,,
ctrpv2,2,BRD-A02303741-navitoclax_(2-1_mol-mol),marginal,460,22,445,0.30416469169155874,0.30416469169155874,0.340770436937145,0.340770436937145
ctrpv2,2,BRD-A02303741-navitoclax_(2-1_mol-mol),residualized,460,22,445,0.3613866443327595,0.2613823979159074,0.3755855183324519,0.37558551833245174
ctrpv2,2,BRD-A02303741-navitoclax_(2-1_mol-mol),irm,460,22,445,0.21621301284705274,0.21621301284705274,0.2527572091354765,0.2527572091354765
ctrpv2,2,BRD-A02303741-navitoclax_(2-1_mol-mol),dann,460,22,445,0.30444943232870464,0.30444943232870464,0.33939461992525227,0.33939461992525227
ctrpv2,2,BRD-A02303741-navitoclax_(2-1_mol-mol),adae,460,22,445,0.3122199610548101,0.3122199610548101,0.36715252520356123,0.36715252520356123
ctrpv2,2,BRD-A71883111,baseline,227,22,195,-0.5551965433083828,-0.5551965433083828,,
ctrpv2,2,BRD-A71883111,marginal,227,22,195,0.10724052159876363,0.10724052159876363,0.12131443657740615,0.12131443657740615
ctrpv2,2,BRD-A71883111,residualized,227,22,195,0.2607140275823757,-0.3630398362741498,0.1991843665255069,0.1991843665255069
ctrpv2,2,BRD-A71883111,irm,227,22,195,0.05952309668210466,0.05952309668210466,0.10458390378700683,0.10458390378700683
ctrpv2,2,BRD-A71883111,dann,227,22,195,0.08471553858334618,0.08471553858334618,0.10827840964367169,0.10827840964367169
ctrpv2,2,BRD-A71883111,adae,227,22,195,0.18088952592433513,0.18088952592433513,0.20229769421440522,0.20229769421440522
ctrpv2,2,BRD-A94377914,baseline,373,23,350,-0.3238806280691634,-0.3238806280691634,,
ctrpv2,2,BRD-A94377914,marginal,373,23,350,0.23317883585827867,0.23317883585827867,0.28942596218116395,0.28942596218116395
ctrpv2,2,BRD-A94377914,residualized,373,23,350,0.2526115019434904,0.16701172846604603,0.28818144104425686,0.2881814410442568
ctrpv2,2,BRD-A94377914,irm,373,23,350,0.21421692116599234,0.21421692116599234,0.29686346762476423,0.29686346762476423
ctrpv2,2,BRD-A94377914,dann,373,23,350,0.2202056137667965,0.2202056137667965,0.2745494291123516,0.2745494291123516
ctrpv2,2,BRD-A94377914,adae,373,23,350,0.1716399191995475,0.1716399191995475,0.2505187245793226,0.2505187245793226
ctrpv2,2,BRD-K02251932,baseline,438,22,421,-0.3926751545890098,-0.3926751545890098,,
ctrpv2,2,BRD-K02251932,marginal,438,22,421,0.03937308375231922,0.03937308375231922,0.08614472781750296,0.08614472781750296
ctrpv2,2,BRD-K02251932,residualized,438,22,421,0.05188290512177656,-0.13196008875392554,0.05677346198331865,0.05677346198331865
ctrpv2,2,BRD-K02251932,irm,438,22,421,0.08788558394680132,0.08788558394680132,0.11617364438673569,0.11617364438673569
ctrpv2,2,BRD-K02251932,dann,438,22,421,0.05382955374570076,0.05382955374570076,0.13280006982079587,0.13280006982079587
ctrpv2,2,BRD-K02251932,adae,438,22,421,0.02490439309872109,0.02490439309872109,0.12129970848525971,0.12129970848525971
ctrpv2,2,BRD-K11533227,baseline,332,23,313,-0.4520795750757289,-0.4520795750757289,,
ctrpv2,2,BRD-K11533227,marginal,332,23,313,0.017862903089832027,0.017862903089832027,0.12564287446236766,0.12564287446236766
ctrpv2,2,BRD-K11533227,residualized,332,23,313,0.07891512276774104,-0.2353347761939367,0.036337768249103994,0.03633776824910398
ctrpv2,2,BRD-K11533227,irm,332,23,313,-0.00826739658670453,-0.00826739658670453,-0.004856994578761285,-0.004856994578761285
ctrpv2,2,BRD-K11533227,dann,332,23,313,0.02797538424408767,0.02797538424408767,0.08538328225771663,0.08538328225771663
ctrpv2,2,BRD-K11533227,adae,332,23,313,0.019762483788355906,0.019762483788355906,0.1152517293050841,0.1152517293050841
ctrpv2,2,BRD-K13999467,baseline,652,22,637,-0.3153559326383554,-0.3153559326383554,,
ctrpv2,2,BRD-K13999467,marginal,652,22,637,0.07153568328728614,0.07153568328728614,0.09190295228580994,0.09190295228580994
ctrpv2,2,BRD-K13999467,residualized,652,22,637,0.1718939945214475,0.07771446732660159,0.1706910105923587,0.17069101059235867
