dataset,seed,item,method,n_cells,n_tissues,pearson,wt_pearson,wt_pearson_recon
depmap,4,ALG13,baseline,1076,29,0.22130923277433645,-0.28757552731675484,-0.28757552731675484
depmap,4,ALG13,marginal,1076,29,0.26874267761977766,0.1962857617059821,0.1962857617059821
depmap,4,ALG13,residualized,1076,29,0.33109385229050586,0.2570697293402756,0.19013747030271907
depmap,4,ALG13,irm,1076,29,0.17532983398468815,0.12053010354767138,0.12053010354767138
depmap,4,ANKLE2,baseline,1076,29,-0.007422638352636566,-0.3086626054865437,-0.3086626054865437
depmap,4,ANKLE2,marginal,1076,29,0.13407785993377225,0.11602844227778857,0.11602844227778857
depmap,4,ANKLE2,residualized,1076,29,0.10416623359093731,0.1348408591105526,0.031976803217913324
depmap,4,ANKLE2,irm,1076,29,0.11388096234878624,0.09542236170007805,0.09542236170007805
depmap,4,ATP1A1,baseline,1076,29,0.3224304099744854,-0.28540931664602887,-0.28540931664602887
depmap,4,ATP1A1,marginal,1076,29,0.4058275221519535,0.27160705692634635,0.27160705692634635
depmap,4,ATP1A1,residualized,1076,29,0.39438452128751295,0.2545673281048947,0.192777363114312
depmap,4,ATP1A1,irm,1076,29,0.34454015156837525,0.21860952310457152,0.21860952310457152
depmap,4,ATP6AP1,baseline,1076,29,0.24388308774118808,-0.31888804558585404,-0.31888804558585404
depmap,4,ATP6AP1,marginal,1076,29,0.27578398897712636,0.14927644460902384,0.14927644460902384
depmap,4,ATP6AP1,residualized,1076,29,0.32420879258087276,0.22060107943652488,0.14618741051810674
depmap,4,ATP6AP1,irm,1076,29,0.20504286360962332,0.1294577991037048,0.1294577991037048
depmap,4,ATP6V0C,baseline,1076,29,0.10869486925811003,-0.28572772169725075,-0.28572772169725075
depmap,4,ATP6V0C,marginal,1076,29,0.10429674585034049,0.06230579914833046,0.06230579914833046
depmap,4,ATP6V0C,residualized,1076,29,0.11061605603911992,0.05036514354891638,-0.036310215264444695
depmap,4,ATP6V0C,irm,1076,29,0.10800282068754254,0.06174220418959031,0.06174220418959031
depmap,4,ATP6V1A,baseline,1076,29,0.15437037841574117,-0.26696925466731874,-0.26696925466731874
depmap,4,ATP6V1A,marginal,1076,29,0.12032391150707143,0.07104327167323696,0.07104327167323696
depmap,4,ATP6V1A,residualized,1076,29,0.2225326943034756,0.16627461809911345,0.09959780253252189
depmap,4,ATP6V1A,irm,1076,29,0.11583464232581953,0.0705799652737481,0.0705799652737481
depmap,4,ATP6V1B2,baseline,1076,29,0.19237161421724602,-0.27117752853522786,-0.27117752853522786
depmap,4,ATP6V1B2,marginal,1076,29,0.21277314471671235,0.13938829487835286,0.13938829487835286
